Algos,Data Size,Waste,Runtime
"('NextFit', 0)",100,16,6.066599999998701e-05
"('FirstFit', 0)",100,5,0.00011570899999990836
"('BestFit', 0)",100,4,0.0003222499999999684
"('FirstFitDec', 0)",100,1,0.00026058400000006365
"('BestFitDec', 0)",100,1,0.0005893339999998304
"('CustomFit1', 0)",100,1,0.0004161670000000228
"('NextFit', 0)",200,26,5.5833999999865824e-05
"('FirstFit', 0)",200,5,0.0004477910000000307
"('BestFit', 0)",200,4,0.001444709000000044
"('FirstFitDec', 0)",200,0,0.0009178340000000063
"('BestFitDec', 0)",200,0,0.0024188750000000425
"('CustomFit1', 0)",200,2,0.0017078749999999143
"('NextFit', 0)",400,60,0.00010183399999985632
"('FirstFit', 0)",400,13,0.0016537500000000094
"('BestFit', 0)",400,10,0.005219292000000042
"('FirstFitDec', 0)",400,1,0.002532458999999987
"('BestFitDec', 0)",400,1,0.006979417000000154
"('CustomFit1', 0)",400,4,0.0046336249999998635
"('NextFit', 0)",800,115,0.00016262499999997182
"('FirstFit', 0)",800,14,0.0054475000000000495
"('BestFit', 0)",800,10,0.017432042000000036
"('FirstFitDec', 0)",800,1,0.007910208999999835
"('BestFitDec', 0)",800,1,0.02598933300000006
"('CustomFit1', 0)",800,12,0.017319040999999924
"('NextFit', 0)",1600,233,0.00036879199999995116
"('FirstFit', 0)",1600,31,0.020827458000000076
"('BestFit', 0)",1600,23,0.06657216700000013
"('FirstFitDec', 0)",1600,1,0.028394832999999897
"('BestFitDec', 0)",1600,1,0.09878816600000007
"('CustomFit1', 0)",1600,23,0.06491220799999997
"('NextFit', 0)",3200,459,0.0009716250000000315
"('FirstFit', 0)",3200,35,0.08693629200000008
"('BestFit', 0)",3200,25,0.26432033300000013
"('FirstFitDec', 0)",3200,1,0.11192295800000007
"('BestFitDec', 0)",3200,1,0.3908295829999999
"('CustomFit1', 0)",3200,53,0.2608802909999999
"('NextFit', 0)",6400,882,0.0014500829999999354
"('FirstFit', 0)",6400,59,0.35033650000000005
"('BestFit', 0)",6400,42,1.0581637080000004
"('FirstFitDec', 0)",6400,1,0.4469698329999998
"('BestFitDec', 0)",6400,1,1.5820124580000003
"('CustomFit1', 0)",6400,106,1.0321440409999996
"('NextFit', 0)",12800,1838,0.003424374999999813
"('FirstFit', 0)",12800,106,1.4367142919999996
"('BestFit', 0)",12800,74,4.288766958
"('FirstFitDec', 0)",12800,2,1.8204188329999997
"('BestFitDec', 0)",12800,2,6.308110375000002
"('CustomFit1', 0)",12800,224,4.171470917000001
"('NextFit', 0)",25600,3685,0.006229250000000519
"('FirstFit', 0)",25600,211,5.841923042000001
"('BestFit', 0)",25600,153,17.66880975
"('FirstFitDec', 0)",25600,2,7.242485916999996
"('BestFitDec', 0)",25600,2,26.092836165999998
"('CustomFit1', 0)",25600,462,16.938135542000012
"('NextFit', 1)",100,13,2.3416999994196885e-05
"('FirstFit', 1)",100,4,0.00011591599999860591
"('BestFit', 1)",100,4,0.00035420900000815436
"('FirstFitDec', 1)",100,1,0.00025212500000293403
"('BestFitDec', 1)",100,1,0.0005868339999892669
"('CustomFit1', 1)",100,1,0.00041979099999878144
"('NextFit', 1)",200,22,4.504199999644243e-05
"('FirstFit', 1)",200,4,0.00034329199999660887
"('BestFit', 1)",200,3,0.0010772499999944785
"('FirstFitDec', 1)",200,0,0.0007370000000008758
"('BestFitDec', 1)",200,0,0.0019505000000066275
"('CustomFit1', 1)",200,3,0.0013877499999921383
"('NextFit', 1)",400,55,8.554199999366574e-05
"('FirstFit', 1)",400,7,0.00162316700000531
"('BestFit', 1)",400,5,0.004835666999994714
"('FirstFitDec', 1)",400,1,0.0023330839999999853
"('BestFitDec', 1)",400,1,0.006869915999999421
"('CustomFit1', 1)",400,5,0.005103082999994513
"('NextFit', 1)",800,115,0.00016712499999016472
"('FirstFit', 1)",800,18,0.005316084000000387
"('BestFit', 1)",800,12,0.017874833000007584
"('FirstFitDec', 1)",800,0,0.008063165999999455
"('BestFitDec', 1)",800,0,0.02648479100000145
"('CustomFit1', 1)",800,9,0.017418958999996903
"('NextFit', 1)",1600,239,0.00036058300000263444
"('FirstFit', 1)",1600,23,0.02201308400000812
"('BestFit', 1)",1600,17,0.06926837499999294
"('FirstFitDec', 1)",1600,1,0.0299244170000037
"('BestFitDec', 1)",1600,1,0.10220825000000389
"('CustomFit1', 1)",1600,28,0.0678576669999984
"('NextFit', 1)",3200,453,0.0007156659999907333
"('FirstFit', 1)",3200,28,0.08842720900000245
"('BestFit', 1)",3200,22,0.2719962500000008
"('FirstFitDec', 1)",3200,1,0.11469754200000182
"('BestFitDec', 1)",3200,1,0.4078492080000018
"('CustomFit1', 1)",3200,52,0.2622363750000005
"('NextFit', 1)",6400,926,0.0014377499999937982
"('FirstFit', 1)",6400,61,0.3548445410000056
"('BestFit', 1)",6400,40,1.0967643749999922
"('FirstFitDec', 1)",6400,2,0.4558309999999892
"('BestFitDec', 1)",6400,2,1.5932671669999934
"('CustomFit1', 1)",6400,111,1.0557218750000033
"('NextFit', 1)",12800,1845,0.0034422500000061973
"('FirstFit', 1)",12800,109,1.4514050420000046
"('BestFit', 1)",12800,80,4.348185958999991
"('FirstFitDec', 1)",12800,1,1.8505233329999982
"('BestFitDec', 1)",12800,1,6.474101790999995
"('CustomFit1', 1)",12800,221,4.212389125000001
"('NextFit', 1)",25600,3692,0.006413374999993948
"('FirstFit', 1)",25600,211,5.826164708999997
"('BestFit', 1)",25600,151,17.673486999999994
"('FirstFitDec', 1)",25600,2,7.296202291000014
"('BestFitDec', 1)",25600,2,25.788095207999987
"('CustomFit1', 1)",25600,467,16.95862304099998
"('NextFit', 2)",100,15,2.383399998961977e-05
"('FirstFit', 2)",100,4,0.00011070800002244141
"('BestFit', 2)",100,3,0.0003570840000008957
"('FirstFitDec', 2)",100,1,0.000250082999997403
"('BestFitDec', 2)",100,1,0.0005829579999954149
"('CustomFit1', 2)",100,1,0.0004151249999893025
"('NextFit', 2)",200,29,4.93750000032378e-05
"('FirstFit', 2)",200,5,0.0003755840000110311
"('BestFit', 2)",200,4,0.0011831669999935457
"('FirstFitDec', 2)",200,0,0.0007620000000088112
"('BestFitDec', 2)",200,0,0.0018615420000003269
"('CustomFit1', 2)",200,2,0.0014894170000161466
"('NextFit', 2)",400,55,8.29580000072383e-05
"('FirstFit', 2)",400,7,0.001318624999981921
"('BestFit', 2)",400,6,0.004404167000018333
"('FirstFitDec', 2)",400,0,0.0023877079999863327
"('BestFitDec', 2)",400,0,0.0068627919999926235
"('CustomFit1', 2)",400,4,0.004700250000013284
"('NextFit', 2)",800,104,0.00016987500001164335
"('FirstFit', 2)",800,10,0.005503375000017741
"('BestFit', 2)",800,8,0.017165750000003754
"('FirstFitDec', 2)",800,0,0.00786670799999456
"('BestFitDec', 2)",800,0,0.025578332999998565
"('CustomFit1', 2)",800,12,0.01758366600000727
"('NextFit', 2)",1600,227,0.00038762500000188993
"('FirstFit', 2)",1600,18,0.02232995800000026
"('BestFit', 2)",1600,12,0.06990837499998293
"('FirstFitDec', 2)",1600,1,0.02921183299997665
"('BestFitDec', 2)",1600,1,0.10409879200000205
"('CustomFit1', 2)",1600,24,0.06849083400001632
"('NextFit', 2)",3200,435,0.0007771250000132568
"('FirstFit', 2)",3200,32,0.08841420900000685
"('BestFit', 2)",3200,24,0.26792924999998036
"('FirstFitDec', 2)",3200,1,0.11481279200000927
"('BestFitDec', 2)",3200,1,0.4026510000000201
"('CustomFit1', 2)",3200,56,0.2642764160000013
"('NextFit', 2)",6400,940,0.0018230419999838432
"('FirstFit', 2)",6400,61,0.3630779580000194
"('BestFit', 2)",6400,44,1.1137794580000104
"('FirstFitDec', 2)",6400,1,0.4520945839999797
"('BestFitDec', 2)",6400,1,1.6334416669999996
"('CustomFit1', 2)",6400,109,1.054190707999993
"('NextFit', 2)",12800,1840,0.003487667000001693
"('FirstFit', 2)",12800,111,1.4537172080000005
"('BestFit', 2)",12800,79,4.426168375000003
"('FirstFitDec', 2)",12800,2,1.8113777089999985
"('BestFitDec', 2)",12800,2,6.4914880420000145
"('CustomFit1', 2)",12800,217,4.198793792000004
"('NextFit', 2)",25600,3730,0.006720624999985603
"('FirstFit', 2)",25600,206,5.873044042000004
"('BestFit', 2)",25600,151,17.73503500000001
"('FirstFitDec', 2)",25600,2,7.259523624999986
"('BestFitDec', 2)",25600,2,25.987272082999993
"('CustomFit1', 2)",25600,442,16.872677666999948
